flashcard_index,flashcard_question,flashcard_answer,flashcard_keyword,flashcard_topic
1,What is the general topic of this flashcard?,The development of a disease.,"['disease', 'development']",Development of Disease
2,Can you identify the main topic of this flashcard?,"Yes, it is about the development of a disease.","['disease', 'development']",Development of Disease
3,What process does this flashcard discuss?,The process by which a disease develops.,"['disease', 'develops']",Development of Disease
4,What is the topic of this specific flashcard?,The development of a disease.,"['disease', 'development']",Development of Disease
5,What is the focus of this flashcard?,The focus of this flashcard is on the development of a disease.,"['disease', 'development']",Development of Disease
1,What is the term used for the body's response to harmful stimuli in cells?,Cellular responses to stress and noxious stimuli,"['cellular responses', 'stress', 'noxious stimuli']",Cellular Responses to Stress and Noxious Stimuli
2,What type of cell injury can be reversed if the harmful stimulus is removed?,Reversible cell injury,"['cell injury', 'reversible']",Reversible Cell Injury
3,What biological process results in the termination of a cell's vital functions?,Cell death,['cell death'],Cell Death
4,What are the primary mechanisms that cause cell injury?,"The primary mechanisms that cause cell injury include physical, chemical, and biological factors.","['cell injury', 'mechanisms']",Mechanisms of Cell Injury
5,What is the term used for the cell's ability to respond and survive under stressful conditions?,Cellular adaptations to stress,"['cellular adaptations', 'stress']",Cellular Adaptations to Stress
6,What are intracellular accumulations that can negatively impact cell function?,Intracellular accumulations such as waste products or misfolded proteins can negatively impact cell function.,['intracellular accumulations'],Intracellular Accumulations
7,What is the term used for the abnormal deposition of calcium salts in tissues?,Pathologic calcification,['calcification'],Pathologic Calcification
8,What is the natural process of cells becoming less functional over time called?,Cellular aging,['cellular aging'],Cellular Aging
1,What is a common cause of hypoxia?,Ischemia,"['hypoxia', 'ischemia']",Causes of Cell Injury
2,Which toxins can cause cell injury?,"Air pollutants, poisons, insecticides, CO, etc.",['toxins'],Causes of Cell Injury
3,What are some infectious agents that can cause cell injury?,Infectious agents,['infectious agents'],Causes of Cell Injury
4,What are some examples of immunologic reactions that can cause cell injury?,"Hypersensitivity, autoimmune disease",['immunologic reactions'],Causes of Cell Injury
5,What are some genetic abnormalities that can cause cell injury?,Chromosome or gene defect,['genetic abnormalities'],Causes of Cell Injury
6,What are some causes of cell injury due to nutritional imbalances?,"Protein-calorie insufficiency, vitamin deficiency",['nutritional imbalances'],Causes of Cell Injury
7,What are some physical agents that can cause cell injury?,"Trauma, temperatures, radiation, etc.",['physical agents'],Causes of Cell Injury
1,What is the first phenomenon that characterizes irreversibility in a cell?,Inability to reverse mitochondrial dysfunction,"['irreversibility', 'cell', 'mitochondrial dysfunction']",Cell Injury and Death
2,What is the second phenomenon that characterizes irreversibility in a cell?,Profound disturbances in membrane function,"['irreversibility', 'cell', 'membrane function']",Cell Injury and Death
1,What are some plasma membrane alterations during reversible cell injury?,"Blebbing, blunting, distortion of microvilli.","['plasma membrane', 'alterations']",Reversible Cell Injury and Necrosis
2,What happens to mitochondria during reversible cell injury?,They swell and appear as phospholipid-rich amorphous densities.,['mitochondrial changes'],Reversible Cell Injury and Necrosis
3,What occurs in the endoplasmic reticulum during reversible cell injury?,It dilates with detachment of polysomes.,['endoplasmic reticulum'],Reversible Cell Injury and Necrosis
4,What happens to the chromatin in the nucleus during reversible cell injury?,It clumps.,['nuclear alterations'],Reversible Cell Injury and Necrosis
5,What are myelin figures?,Collections of phospholipids derived from damaged cellular membranes.,['myelin figures'],Reversible Cell Injury and Necrosis
1,What is the general term for the process by which cells die?,Cell Death,['Cell Death'],Cell Death
2,What are the two main types of cell death?,Necrosis and Apoptosis,"['Cell Death', 'Necrosis', 'Apoptosis']",Types of Cell Death
3,What are the two possible size changes that can occur during cell death?,The cell can either enlarge (swelling) or reduce (shrinkage),"['Cell Death', 'Size']",Size Changes in Cell Death
4,What are the three possible nuclear changes that can occur during cell death?,"Pyknosis, karyorrhexis, and karyolysis","['Cell Death', 'Nucleus']",Nuclear Changes in Cell Death
